symbol,open,high,low,close,volume,adjust_close
A,45.32,45.380001,44.500001,44.529999,3488100,
AA,8.339991,8.359991,8.169992,8.199992,6921100,
AACC,6.85,7.07,6.78,6.9,776300,
AAMRQ,5.14,5.18,4.74,4.78,10016000,
AAN,27.52,27.85,27.43,27.57,486900,
AAON,32.050012,32.629995,31.14,31.240012,189600,
AAP,81.959999,82.940002,81.529999,81.550003,472400,
AAPL,445.650013,450.720009,443.709995,445.110001,72647400,
AAT,31.879999,32.34,31.73,31.860001,169400,
AAU,1.77,1.8,1.68,1.73,110500,
AAV,4.17,4.27,4.15,4.25,172600,
AAWW,45.830002,46.349998,45.09,45.310001,216200,
AAXJ,58.099998,58.25,57.48,57.509998,497800,
AB,24.379999,24.4,23.559999,23.58,298600,
ABAX,44.5,44.860001,43.43,43.73,56900,
ABB,21.879999,21.969999,21.57,21.6,2949500,
ABBV,43.490002,43.900002,42.689999,43.040001,4801300,
ABC,53.040001,53.369999,52.84,52.900002,3433100,
ABCO,51.93,52.150002,51.369999,51.720001,226900,
ABFS,18.84,19.28,18.53,18.71,494300,
ABG,41.290001,41.689999,39.799999,39.950001,350200,
ABM,25.49,25.5,25.1,25.16,289700,
ABMD,21.17,21.49,20.67,20.83,391200,
ABR,6.84,6.92,6.74,6.76,161400,
ABT,36.720001,37.16,36.259998,36.299999,7084800,
ABV,37.34,37.5,36.74,36.76,16012200,
ABX,20.93,21.43,20.75,21,11856900,
ACAD,14.5,14.84,14.28,14.71,2964000,
ACAS,12.93,12.98,12.69,12.78,4602100,
ACAT,45.84,46.59,45.610001,45.900002,53100,
ACC,40.48,40.549999,39.919998,40.049999,1082100,
ACCO,6.78,6.84,6.57,6.66,723800,
ACE,88.699997,88.699997,87.790001,87.849998,1623900,
ACET,13.25,13.38,13,13.22,135800,
ACFN,8.79,8.8,8.31,8.34,70500,
ACGL,51.360001,51.509998,50.849998,50.849998,853000,
ACH,9.44,9.49,9.3,9.3,95400,
ACHC,33.5,33.700001,32.549999,33.330002,982700,
ACHN,7.95,8.34,7.56,7.76,1509900,
ACI,5.04,5.15,4.98,5.09,966200,
ACIW,45.660001,45.67,44.61,44.849999,337200,
ACLS,1.6,1.66,1.59,1.61,143300,
ACM,30.290001,30.5,29.950001,30.030001,503900,
ACMP,43.29,43.29,42,42.65,306400,
ACN,81.25,81.25,79.370003,79.580002,2433400,
ACO,31.7,31.96,31.04,31.34,95200,
ACOR,32.950001,33.299999,32.41,32.689999,397900,
ACRE,15.95,16.08,15.77,15.81,24700,
ACRX,8.31,8.46,7.96,8.19,342400,
ACT,119.389999,121.449997,118.68,120.339996,2060000,
ACTG,23.719999,24.549999,23.57,24.09,749700,
ACTV,6.88,7.26,6.818,7.25,640500,
ACUR,2.21,2.27,2.18,2.19,265348,
ACW,5.14,5.15,4.965,5.03,128200,
ACWI,51.75,51.779999,51.139999,51.189999,2240500,
ACXM,22.309999,22.49,22.030001,22.15,324900,
ADBE,44.389999,44.580002,43.810001,43.84,3385600,
ADC,32.669998,32.700001,31.75,31.77,67700,
ADES,38.57,39.06,36.73,37.12,237400,
ADI,45.919998,46.040001,45.349998,45.389999,1871900,
ADM,32.91,32.939999,32.470001,32.599998,3527600,
ADNC,14.2,14.59,13.8,14.07,392100,
ADP,68.630002,68.900005,67.790004,67.860005,1976100,
ADS,176.25,176.550003,173.369995,173.580002,924300,
ADSK,36.68,37,36.07,36.119999,1650100,
ADT,40.110001,40.189999,39.66,39.740002,4412800,
ADTN,22.85,23.15,22.65,22.879999,714500,
ADVS,32.560001,32.75,32.330002,32.419998,150200,
ADY,7.34,7.36,7.34,7.35,31500,
AEC,16.51,16.629999,16.299999,16.389999,1046900,
AEE,33.889999,34.16,33.799999,34.049999,4272500,
AEG,6.84,6.85,6.7,6.7,979600,
AEGN,22.65,22.73,21.9,22.280001,125600,
AEGR,71.050003,73.93,70.290001,72.849998,491900,
AEIS,18.120001,18.139999,17.5,17.51,211700,
AEL,16.200001,16.34,15.99,16.02,753400,
AEM,32.400002,33.16,32.259998,32.73,1750400,
AEO,19.780001,19.99,19.51,19.559999,1882700,
AEP,45.869999,45.93,45.5,45.610001,2828800,
AER,17.4,17.43,16.85,16.860001,406200,
AERL,4.25,4.25,4,4.07,222400,
AES,12.21,12.25,12.02,12.07,4877000,
AET,59.209999,59.43,57.720001,58.220001,2830600,
AF,10.03,10.06,9.75,9.77,579800,
AFAM,19.83,20.1,19.5,19.77,23600,
AFCE,36.19,36.44,35.15,35.24,165900,
AFFX,3.75,3.77,3.52,3.58,322000,
AFFY,1.5,1.68,1.2,1.2,17029000,
AFG,48.27,48.41,47.939999,47.959999,414200,
AFL,55.619999,55.77,54.950001,55.189999,2408700,
AFSI,32.160001,32.78,31.850001,32.560001,1002200,
AG,11.29,11.64,11.17,11.32,981900,
AGCO,55.209999,55.549999,54.689999,54.740002,658300,
AGEN,3.92,3.93,3.72,3.76,268700,
AGG,108.849998,108.900002,108.669998,108.669998,1160600,
AGII,40.000004,40.08001,39.660006,39.680006,119600,
AGM,29.41,29.41,28.84,28.84,43100,
AGN,119.389999,121.449997,118.68,120.339996,2060000,
AGNC,25.889999,26.18,25.219999,25.34,9612000,
AGO,22.139999,22.4,21.879999,22.25,1665200,
AGQ,22.809999,23.27,22.66,22.790001,303600,
AGRO,7.5,7.53,7.35,7.35,94000,
AGU,91.800003,91.800003,90.559998,90.760002,663600,
AGX,16.18,16.24,15.8,16.02,44200,
AGYS,12.33,12.4,12.1,12.32,56100,
AH,24.1,24.1,23.5,23.5,568700,
AHGP,63.32,63.66,62.119999,62.150002,29900,
AHL,36.5,36.639999,36.369999,36.380001,545500,
AHS,13.69,14.15,13.69,13.91,561200,
AHT,13.27999,13.53001,12.99999,13.009994,628000,
AI,27.209999,27.51,27.030001,27.1,182100,
AIG,45.43,45.5,43.310001,43.900002,24360000,
AIMC,26.879999,27.01,26.16,26.66,176800,
